23,MOT,cop
23,MOT,pro:int
23,MOT,n
23,MOT,v
24,MOT,v
24,MOT,pro:dem
24,MOT,cop
24,MOT,pro:int
24,MOT,n
24,MOT,v
25,MOT,co
25,MOT,!
26,MOT,co
27,MOT,co
28,MOT,mod
28,MOT,pro:per
28,MOT,v
28,MOT,pro:int
28,MOT,inf
28,MOT,v
29,MOT,mod
29,MOT,pro:per
29,MOT,v
29,MOT,pro:int
29,MOT,inf
29,MOT,v
30,MOT,mod
30,MOT,pro:per
30,MOT,v
30,MOT,pro:int
30,MOT,inf
30,MOT,v
31,MOT,mod
31,MOT,pro:per
31,MOT,v
31,MOT,pro:per
31,MOT,v
31,MOT,prep
32,MOT,mod
32,MOT,pro:per
32,MOT,v
32,MOT,pro:per
32,MOT,v
32,MOT,prep
33,MOT,mod
33,MOT,pro:per
33,MOT,v
33,MOT,pro:per
33,MOT,v
33,MOT,prep
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,n
34,MOT,n
34,MOT,pro:per
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,n
35,MOT,n
35,MOT,pro:per
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,n
36,MOT,n
36,MOT,pro:per
37,MOT,co
37,MOT,neg
37,MOT,prep
37,MOT,det:dem
37,MOT,n
37,MOT,!
38,MOT,co
38,MOT,neg
38,MOT,prep
38,MOT,det:dem
38,MOT,n
39,MOT,co
39,MOT,neg
39,MOT,prep
39,MOT,det:dem
39,MOT,n
40,MOT,prep
40,MOT,det:art
40,MOT,n
40,MOT,n
40,MOT,v
40,MOT,pro:per
41,MOT,prep
41,MOT,det:art
41,MOT,n
41,MOT,n
41,MOT,v
41,MOT,pro:per
42,MOT,prep
42,MOT,det:art
42,MOT,n
42,MOT,n
42,MOT,v
42,MOT,pro:per
43,MOT,prep
43,MOT,pro:dem
44,MOT,prep
44,MOT,pro:dem
45,MOT,prep
45,MOT,pro:dem
46,MOT,mod
46,MOT,pro:per
46,MOT,v
46,MOT,?
47,MOT,mod
47,MOT,pro:per
47,MOT,v
47,MOT,?
48,MOT,mod
48,MOT,pro:per
48,MOT,v
49,MOT,co
50,MOT,co
51,MOT,co
52,MOT,n
52,MOT,adv
52,MOT,coord
52,MOT,adv
52,MOT,!
53,MOT,n
53,MOT,adv
53,MOT,coord
53,MOT,adv
54,MOT,n
54,MOT,adv
54,MOT,coord
54,MOT,adv
55,MOT,pro:dem
55,MOT,co
55,MOT,!
56,MOT,pro:dem
56,MOT,co
57,MOT,pro:dem
57,MOT,co
58,CHI,n
59,CHI,n
60,CHI,n
61,MOT,pro:per
61,MOT,v
61,MOT,v
61,MOT,comp
61,MOT,co
61,MOT,prep
62,MOT,pro:per
62,MOT,v
62,MOT,v
62,MOT,comp
62,MOT,co
62,MOT,prep
